rater_id,story_id,config,seed,structure,temperature,dimension,score,rank,favorite,most_creative,most_engaging,most_coherent,is_baseline
P002,baseline,baseline,,,,Character Consistency,3.0,3,0,0,0,0,True
P002,baseline,baseline,,,,Creativity_Originality,5.0,3,0,0,0,0,True
P002,baseline,baseline,,,,Language Fluency,3.0,3,0,0,0,0,True
P002,baseline,baseline,,,,Structural Completeness,2.0,3,0,0,0,0,True
P002,baseline,baseline,,,,Overall Quality,2.0,3,0,0,0,0,True
P002,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Coherence,1.0,4,0,0,0,0,False
P002,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Emotional Development,2.0,4,0,0,0,0,False
P002,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Character Consistency,3.0,4,0,0,0,0,False
P002,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Creativity_Originality,4.0,4,0,0,0,0,False
P002,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Language Fluency,2.0,4,0,0,0,0,False
P002,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Structural Completeness,1.0,4,0,0,0,0,False
P002,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Overall Quality,3.0,4,0,0,0,0,False
P002,nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Coherence,3.0,2,0,0,0,0,False
P002,nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Emotional Development,4.0,2,0,0,0,0,False
P002,nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Character Consistency,3.0,2,0,0,0,0,False
P002,nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Creativity_Originality,5.0,2,0,0,0,0,False
P002,nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Language Fluency,3.0,2,0,0,0,0,False
P002,nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Structural Completeness,3.0,2,0,0,0,0,False
P002,nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Overall Quality,3.0,2,0,0,0,0,False
P002,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Coherence,4.0,1,1,1,1,1,False
P002,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Emotional Development,4.0,1,1,1,1,1,False
P002,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Character Consistency,4.0,1,1,1,1,1,False
P002,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Creativity_Originality,5.0,1,1,1,1,1,False
P002,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Language Fluency,4.0,1,1,1,1,1,False
P002,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Structural Completeness,4.0,1,1,1,1,1,False
P002,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Overall Quality,3.0,1,1,1,1,1,False
P003,baseline,baseline,,,,Coherence,5.0,2,1,0,0,0,True
P003,baseline,baseline,,,,Emotional Development,4.0,2,1,0,0,0,True
P003,baseline,baseline,,,,Character Consistency,5.0,2,1,0,0,0,True
P003,baseline,baseline,,,,Creativity_Originality,4.0,2,1,0,0,0,True
P003,baseline,baseline,,,,Language Fluency,4.0,2,1,0,0,0,True
P003,baseline,baseline,,,,Structural Completeness,4.0,2,1,0,0,0,True
P003,baseline,baseline,,,,Overall Quality,3.0,2,1,0,0,0,True
P003,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Coherence,5.0,4,0,0,0,1,False
P003,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Emotional Development,4.0,4,0,0,0,1,False
P003,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Character Consistency,3.0,4,0,0,0,1,False
P003,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Creativity_Originality,4.0,4,0,0,0,1,False
P003,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Language Fluency,5.0,4,0,0,0,1,False
P003,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Structural Completeness,4.0,4,0,0,0,1,False
P003,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Overall Quality,3.0,4,0,0,0,1,False
P003,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Coherence,5.0,3,0,0,0,0,False
P003,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Emotional Development,4.0,3,0,0,0,0,False
P003,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Character Consistency,4.0,3,0,0,0,0,False
P003,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Creativity_Originality,4.0,3,0,0,0,0,False
P003,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Language Fluency,5.0,3,0,0,0,0,False
P003,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Structural Completeness,5.0,3,0,0,0,0,False
P003,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Overall Quality,4.0,3,0,0,0,0,False
P003,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Coherence,5.0,1,0,1,1,0,False
P003,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Emotional Development,5.0,1,0,1,1,0,False
P003,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Character Consistency,5.0,1,0,1,1,0,False
P003,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Creativity_Originality,5.0,1,0,1,1,0,False
P003,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Language Fluency,4.0,1,0,1,1,0,False
P003,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Structural Completeness,5.0,1,0,1,1,0,False
P003,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Overall Quality,4.0,1,0,1,1,0,False
P004,baseline,baseline,,,,Coherence,3.0,4,0,1,1,0,True
P004,baseline,baseline,,,,Emotional Development,4.0,4,0,1,1,0,True
P004,baseline,baseline,,,,Character Consistency,4.0,4,0,1,1,0,True
P004,baseline,baseline,,,,Creativity_Originality,3.0,4,0,1,1,0,True
P004,baseline,baseline,,,,Language Fluency,4.0,4,0,1,1,0,True
P004,baseline,baseline,,,,Structural Completeness,3.0,4,0,1,1,0,True
P004,baseline,baseline,,,,Overall Quality,3.0,4,0,1,1,0,True
P004,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Coherence,3.0,3,0,0,0,0,False
P004,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Emotional Development,4.0,3,0,0,0,0,False
P004,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Character Consistency,4.0,3,0,0,0,0,False
P004,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Creativity_Originality,3.0,3,0,0,0,0,False
P004,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Language Fluency,4.0,3,0,0,0,0,False
P004,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Structural Completeness,3.0,3,0,0,0,0,False
P004,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Overall Quality,3.0,3,0,0,0,0,False
P004,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Coherence,3.0,2,1,0,0,0,False
P004,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Emotional Development,4.0,2,1,0,0,0,False
P004,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Character Consistency,3.0,2,1,0,0,0,False
P004,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Creativity_Originality,4.0,2,1,0,0,0,False
P004,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Language Fluency,3.0,2,1,0,0,0,False
P004,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Structural Completeness,4.0,2,1,0,0,0,False
P004,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Overall Quality,3.0,2,1,0,0,0,False
P004,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Coherence,4.0,1,0,0,0,1,False
P004,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Emotional Development,3.0,1,0,0,0,1,False
P004,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Character Consistency,4.0,1,0,0,0,1,False
P004,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Creativity_Originality,3.0,1,0,0,0,1,False
P004,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Language Fluency,3.0,1,0,0,0,1,False
P004,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Structural Completeness,4.0,1,0,0,0,1,False
P004,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Overall Quality,4.0,1,0,0,0,1,False
P005,baseline,baseline,,,,Coherence,2.0,4,0,0,0,0,True
P005,baseline,baseline,,,,Emotional Development,2.0,4,0,0,0,0,True
P005,baseline,baseline,,,,Character Consistency,2.0,4,0,0,0,0,True
P005,baseline,baseline,,,,Creativity_Originality,3.0,4,0,0,0,0,True
P005,baseline,baseline,,,,Language Fluency,2.0,4,0,0,0,0,True
P005,baseline,baseline,,,,Structural Completeness,2.0,4,0,0,0,0,True
P005,baseline,baseline,,,,Overall Quality,2.0,4,0,0,0,0,True
P005,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Coherence,3.0,3,0,0,0,0,False
P005,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Emotional Development,3.0,3,0,0,0,0,False
P005,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Character Consistency,4.0,3,0,0,0,0,False
P005,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Creativity_Originality,3.0,3,0,0,0,0,False
P005,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Language Fluency,3.0,3,0,0,0,0,False
P005,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Structural Completeness,4.0,3,0,0,0,0,False
P005,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Overall Quality,4.0,3,0,0,0,0,False
P005,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Coherence,4.0,1,1,0,1,1,False
P005,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Emotional Development,4.0,1,1,0,1,1,False
P005,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Character Consistency,3.0,1,1,0,1,1,False
P005,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Creativity_Originality,4.0,1,1,0,1,1,False
P005,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Language Fluency,4.0,1,1,0,1,1,False
P005,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Structural Completeness,3.0,1,1,0,1,1,False
P005,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Overall Quality,4.0,1,1,0,1,1,False
P005,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Coherence,3.0,2,0,1,0,0,False
P005,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Emotional Development,4.0,2,0,1,0,0,False
P005,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Character Consistency,3.0,2,0,1,0,0,False
P005,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Creativity_Originality,4.0,2,0,1,0,0,False
P005,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Language Fluency,3.0,2,0,1,0,0,False
P005,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Structural Completeness,3.0,2,0,1,0,0,False
P005,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Overall Quality,3.0,2,0,1,0,0,False
P006,baseline,baseline,,,,Coherence,3.0,3,0,0,0,0,True
P006,baseline,baseline,,,,Emotional Development,2.0,3,0,0,0,0,True
P006,baseline,baseline,,,,Character Consistency,2.0,3,0,0,0,0,True
P006,baseline,baseline,,,,Creativity_Originality,4.0,3,0,0,0,0,True
P006,baseline,baseline,,,,Language Fluency,3.0,3,0,0,0,0,True
P006,baseline,baseline,,,,Structural Completeness,2.0,3,0,0,0,0,True
P006,baseline,baseline,,,,Overall Quality,3.0,3,0,0,0,0,True
P006,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Coherence,3.0,1,1,1,0,1,False
P006,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Emotional Development,2.0,1,1,1,0,1,False
P006,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Character Consistency,3.0,1,1,1,0,1,False
P006,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Creativity_Originality,4.0,1,1,1,0,1,False
P006,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Language Fluency,3.0,1,1,1,0,1,False
P006,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Structural Completeness,3.0,1,1,1,0,1,False
P006,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Overall Quality,3.0,1,1,1,0,1,False
P006,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Coherence,3.0,2,0,0,0,0,False
P006,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Emotional Development,2.0,2,0,0,0,0,False
P006,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Character Consistency,2.0,2,0,0,0,0,False
P006,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Creativity_Originality,4.0,2,0,0,0,0,False
P006,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Language Fluency,3.0,2,0,0,0,0,False
P006,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Structural Completeness,3.0,2,0,0,0,0,False
P006,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Overall Quality,3.0,2,0,0,0,0,False
P006,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Coherence,3.0,4,0,0,1,0,False
P006,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Emotional Development,3.0,4,0,0,1,0,False
P006,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Character Consistency,3.0,4,0,0,1,0,False
P006,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Creativity_Originality,3.0,4,0,0,1,0,False
P006,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Language Fluency,3.0,4,0,0,1,0,False
P006,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Structural Completeness,2.0,4,0,0,1,0,False
P006,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Overall Quality,3.0,4,0,0,1,0,False
P007,baseline,baseline,,,,Coherence,1.0,4,0,0,0,0,True
P007,baseline,baseline,,,,Emotional Development,2.0,4,0,0,0,0,True
P007,baseline,baseline,,,,Character Consistency,3.0,4,0,0,0,0,True
P007,baseline,baseline,,,,Creativity_Originality,4.0,4,0,0,0,0,True
P007,baseline,baseline,,,,Language Fluency,3.0,4,0,0,0,0,True
P007,baseline,baseline,,,,Structural Completeness,2.0,4,0,0,0,0,True
P007,baseline,baseline,,,,Overall Quality,2.0,4,0,0,0,0,True
P007,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Coherence,3.0,3,0,1,0,0,False
P007,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Emotional Development,3.0,3,0,1,0,0,False
P007,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Character Consistency,4.0,3,0,1,0,0,False
P007,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Creativity_Originality,4.0,3,0,1,0,0,False
P007,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Language Fluency,4.0,3,0,1,0,0,False
P007,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Structural Completeness,4.0,3,0,1,0,0,False
P007,linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Overall Quality,3.0,3,0,1,0,0,False
P007,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Coherence,5.0,1,1,0,1,1,False
P007,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Emotional Development,4.0,1,1,0,1,1,False
P007,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Character Consistency,5.0,1,1,0,1,1,False
P007,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Creativity_Originality,5.0,1,1,0,1,1,False
P007,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Language Fluency,5.0,1,1,0,1,1,False
P007,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Structural Completeness,5.0,1,1,0,1,1,False
P007,linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Overall Quality,4.0,1,1,0,1,1,False
P007,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Coherence,3.0,2,0,0,0,0,False
P007,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Emotional Development,4.0,2,0,0,0,0,False
P007,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Character Consistency,4.0,2,0,0,0,0,False
P007,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Creativity_Originality,4.0,2,0,0,0,0,False
P007,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Language Fluency,4.0,2,0,0,0,0,False
P007,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Structural Completeness,4.0,2,0,0,0,0,False
P007,linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Overall Quality,4.0,2,0,0,0,0,False
P008,baseline,baseline,,,,Coherence,3.0,4,0,0,0,0,True
P008,baseline,baseline,,,,Emotional Development,3.0,4,0,0,0,0,True
P008,baseline,baseline,,,,Character Consistency,4.0,4,0,0,0,0,True
P008,baseline,baseline,,,,Creativity_Originality,5.0,4,0,0,0,0,True
P008,baseline,baseline,,,,Language Fluency,3.0,4,0,0,0,0,True
P008,baseline,baseline,,,,Structural Completeness,4.0,4,0,0,0,0,True
P008,baseline,baseline,,,,Overall Quality,3.0,4,0,0,0,0,True
P008,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Coherence,4.0,2,1,0,0,0,False
P008,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Emotional Development,5.0,2,1,0,0,0,False
P008,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Character Consistency,3.0,2,1,0,0,0,False
P008,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Creativity_Originality,3.0,2,1,0,0,0,False
P008,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Language Fluency,5.0,2,1,0,0,0,False
P008,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Structural Completeness,3.0,2,1,0,0,0,False
P008,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Overall Quality,4.0,2,1,0,0,0,False
P008,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Coherence,2.0,3,0,0,0,0,False
P008,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Emotional Development,3.0,3,0,0,0,0,False
P008,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Character Consistency,4.0,3,0,0,0,0,False
P008,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Creativity_Originality,3.0,3,0,0,0,0,False
P008,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Language Fluency,3.0,3,0,0,0,0,False
P008,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Structural Completeness,4.0,3,0,0,0,0,False
P008,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Overall Quality,4.0,3,0,0,0,0,False
P008,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Coherence,4.0,1,0,1,1,1,False
P008,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Emotional Development,5.0,1,0,1,1,1,False
P008,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Character Consistency,3.0,1,0,1,1,1,False
P008,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Creativity_Originality,3.0,1,0,1,1,1,False
P008,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Language Fluency,4.0,1,0,1,1,1,False
P008,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Structural Completeness,4.0,1,0,1,1,1,False
P008,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Overall Quality,4.0,1,0,1,1,1,False
P009,baseline,baseline,,,,Coherence,5.0,3,0,0,0,0,True
P009,baseline,baseline,,,,Emotional Development,4.0,3,0,0,0,0,True
P009,baseline,baseline,,,,Character Consistency,4.0,3,0,0,0,0,True
P009,baseline,baseline,,,,Creativity_Originality,4.0,3,0,0,0,0,True
P009,baseline,baseline,,,,Language Fluency,4.0,3,0,0,0,0,True
P009,baseline,baseline,,,,Structural Completeness,4.0,3,0,0,0,0,True
P009,baseline,baseline,,,,Overall Quality,3.0,3,0,0,0,0,True
P009,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Coherence,4.0,4,0,0,0,0,False
P009,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Emotional Development,4.0,4,0,0,0,0,False
P009,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Character Consistency,4.0,4,0,0,0,0,False
P009,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Creativity_Originality,4.0,4,0,0,0,0,False
P009,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Language Fluency,4.0,4,0,0,0,0,False
P009,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Structural Completeness,4.0,4,0,0,0,0,False
P009,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Overall Quality,4.0,4,0,0,0,0,False
P009,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Coherence,4.0,2,0,1,0,0,False
P009,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Emotional Development,4.0,2,0,1,0,0,False
P009,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Character Consistency,4.0,2,0,1,0,0,False
P009,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Creativity_Originality,4.0,2,0,1,0,0,False
P009,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Language Fluency,4.0,2,0,1,0,0,False
P009,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Structural Completeness,4.0,2,0,1,0,0,False
P009,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Overall Quality,4.0,2,0,1,0,0,False
P009,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Coherence,5.0,1,1,0,1,1,False
P009,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Emotional Development,5.0,1,1,0,1,1,False
P009,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Character Consistency,5.0,1,1,0,1,1,False
P009,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Creativity_Originality,5.0,1,1,0,1,1,False
P009,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Language Fluency,4.0,1,1,0,1,1,False
P009,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Structural Completeness,4.0,1,1,0,1,1,False
P009,linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Overall Quality,5.0,1,1,0,1,1,False
P010,baseline,baseline,,,,Coherence,2.0,3,0,0,0,0,True
P010,baseline,baseline,,,,Emotional Development,3.0,3,0,0,0,0,True
P010,baseline,baseline,,,,Character Consistency,4.0,3,0,0,0,0,True
P010,baseline,baseline,,,,Creativity_Originality,3.0,3,0,0,0,0,True
P010,baseline,baseline,,,,Language Fluency,4.0,3,0,0,0,0,True
P010,baseline,baseline,,,,Structural Completeness,3.0,3,0,0,0,0,True
P010,baseline,baseline,,,,Overall Quality,3.0,3,0,0,0,0,True
P010,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Coherence,3.0,4,0,0,1,0,False
P010,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Emotional Development,4.0,4,0,0,1,0,False
P010,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Character Consistency,4.0,4,0,0,1,0,False
P010,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Creativity_Originality,3.0,4,0,0,1,0,False
P010,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Language Fluency,4.0,4,0,0,1,0,False
P010,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Structural Completeness,3.0,4,0,0,1,0,False
P010,linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Overall Quality,4.0,4,0,0,1,0,False
P010,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Coherence,3.0,2,0,1,0,0,False
P010,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Emotional Development,4.0,2,0,1,0,0,False
P010,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Character Consistency,3.0,2,0,1,0,0,False
P010,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Creativity_Originality,4.0,2,0,1,0,0,False
P010,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Language Fluency,3.0,2,0,1,0,0,False
P010,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Structural Completeness,4.0,2,0,1,0,0,False
P010,linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Overall Quality,3.0,2,0,1,0,0,False
